+++ KPGUER01-ASR9K with via 'cli': executing command 'show ip interface brief' +++
show ip interface brief
Wed Jun  5 20:07:44.448 MYT

Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback1                      10.159.86.3     Up              Up       UNIP_OM 
Loopback2                      10.159.255.112  Up              Up       LTE     
Loopback129                    10.159.255.9    Up              Up       default 
Loopback242                    10.124.201.241  Up              Up       SD      
Loopback252                    10.255.252.205  Up              Up       IT      
srte_c_2000_ep_10.159.255.191  10.159.255.5    Up              Up       default 
srte_c_2000_ep_10.159.255.192  10.159.255.5    Up              Up       default 
MgmtEth0/RSP0/CPU0/0           192.168.1.2     Shutdown        Down     default 
MgmtEth0/RSP1/CPU0/0           192.168.1.3     Shutdown        Down     default 
TenGigE0/0/0/0                 unassigned      Up              Up       default 
TenGigE0/0/0/0.640             10.124.16.2     Up              Up       default 
TenGigE0/0/0/0.642             10.124.16.6     Up              Up       default 
TenGigE0/0/0/1                 unassigned      Up              Up       default 
TenGigE0/0/0/2                 unassigned      Up              Up       default 
TenGigE0/0/0/3                 unassigned      Up              Up       default 
TenGigE0/0/0/4                 unassigned      Down            Down     default 
TenGigE0/0/0/5                 unassigned      Up              Up       default 
TenGigE0/0/0/6                 unassigned      Shutdown        Down     default 
TenGigE0/0/0/7                 unassigned      Up              Up       default 
TenGigE0/0/0/7.1136            unassigned      Up              Up       default 
TenGigE0/0/0/7.1137            unassigned      Up              Up       default 
TenGigE0/0/0/7.1138            unassigned      Up              Up       default 
TenGigE0/0/0/8                 unassigned      Shutdown        Down     default 
TenGigE0/0/0/9                 unassigned      Up              Up       default 
TenGigE0/0/0/10                unassigned      Shutdown        Down     default 
TenGigE0/0/0/11                unassigned      Shutdown        Down     default 
TenGigE0/0/0/12                unassigned      Shutdown        Down     default 
TenGigE0/0/0/13                unassigned      Shutdown        Down     default 
TenGigE0/0/0/14                unassigned      Shutdown        Down     default 
TenGigE0/0/0/15                unassigned      Up              Up       default 
TenGigE0/0/0/16                unassigned      Down            Down     default 
TenGigE0/0/0/17                unassigned      Up              Up       default 
TenGigE0/0/0/18                unassigned      Up              Up       default 
TenGigE0/0/0/19                unassigned      Up              Up       default 
GigabitEthernet0/0/0/20        10.158.33.1     Up              Up       PTP     
GigabitEthernet0/0/0/21        10.158.33.25    Up              Up       PTP     
GigabitEthernet0/0/0/22        10.158.33.109   Up              Up       PTP     
GigabitEthernet0/0/0/23        unassigned      Shutdown        Down     default 
TenGigE0/0/0/24                unassigned      Up              Up       default 
TenGigE0/0/0/25                unassigned      Shutdown        Down     default 
TenGigE0/0/0/26                unassigned      Up              Up       default 
TenGigE0/0/0/27                unassigned      Up              Up       default 
TenGigE0/0/0/28                unassigned      Up              Up       default 
TenGigE0/0/0/29                unassigned      Up              Up       default 
TenGigE0/0/0/30                unassigned      Up              Up       default 
TenGigE0/0/0/31                unassigned      Up              Up       default 
TenGigE0/0/0/32                unassigned      Up              Up       default 
TenGigE0/0/0/33                unassigned      Up              Up       default 
TenGigE0/0/0/34                unassigned      Up              Up       default 
TenGigE0/0/0/35                unassigned      Up              Up       default 
TenGigE0/0/0/36                unassigned      Up              Up       default 
TenGigE0/0/0/37                unassigned      Up              Up       default 
TenGigE0/0/0/38                unassigned      Up              Up       default 
TenGigE0/0/0/39                unassigned      Up              Up       default 
TenGigE0/0/0/40                unassigned      Up              Up       default 
TenGigE0/0/0/41                unassigned      Up              Up       default 
TenGigE0/0/0/42                unassigned      Up              Up       default 
TenGigE0/0/0/43                unassigned      Up              Up       default 
GigabitEthernet0/0/0/44        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/45        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/46        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/47        unassigned      Shutdown        Down     default 
HundredGigE0/1/0/0             unassigned      Up              Up       default 
HundredGigE0/1/0/1             unassigned      Shutdown        Down     default 
HundredGigE0/1/1/0             unassigned      Shutdown        Down     default 
HundredGigE0/1/1/1             unassigned      Shutdown        Down     default 
TenGigE0/2/0/0                 unassigned      Up              Up       default 
TenGigE0/2/0/1                 unassigned      Up              Up       default 
TenGigE0/2/0/2                 unassigned      Shutdown        Down     default 
TenGigE0/2/0/3                 unassigned      Up              Up       default 
GigabitEthernet0/2/0/4         unassigned      Up              Up       default 
GigabitEthernet0/2/0/4.1101    unassigned      Up              Up       default 
GigabitEthernet0/2/0/5         unassigned      Shutdown        Down     default 
GigabitEthernet0/2/0/6         unassigned      Down            Down     default 
GigabitEthernet0/2/0/7         10.152.29.5     Up              Up       IuH_Intranet
GigabitEthernet0/2/0/8         unassigned      Up              Up       default 
GigabitEthernet0/2/0/8.128     10.152.28.1     Up              Up       Femto_IuCS_CP
GigabitEthernet0/2/0/8.129     10.152.28.9     Up              Up       Femto_IuCS_UP
GigabitEthernet0/2/0/9         unassigned      Up              Up       default 
GigabitEthernet0/2/0/9.130     10.152.28.17    Up              Up       H_IuoIP 
GigabitEthernet0/2/0/9.131     10.152.28.25    Up              Up       Gn      
GigabitEthernet0/2/0/10        10.152.29.29    Up              Up       A_OM    
GigabitEthernet0/2/0/11        unassigned      Down            Down     default 
GigabitEthernet0/2/0/11.59     unassigned      Down            Down     default 
GigabitEthernet0/2/0/11.2001   unassigned      Down            Down     default 
GigabitEthernet0/2/0/12        unassigned      Up              Up       default 
GigabitEthernet0/2/0/12.500    unassigned      Up              Up       default 
GigabitEthernet0/2/0/12.501    unassigned      Up              Up       default 
GigabitEthernet0/2/0/13        unassigned      Shutdown        Down     default 
GigabitEthernet0/2/0/14        unassigned      Shutdown        Down     default 
GigabitEthernet0/2/0/15        unassigned      Shutdown        Down     default 
GigabitEthernet0/2/0/16        unassigned      Down            Down     default 
GigabitEthernet0/2/0/17        unassigned      Up              Up       default 
